Mesh,Type,Resolution,Chamfer distance,Hausdorff distance

bunny.obj,one_lod,64,0.015191757214861167,0.25006281526952984

bunny.obj,one_lod,128,0.01562858078790309,0.25634106806846424

bunny.obj,one_lod,256,0.018735544953784614,0.25687063787091163

bunny.obj,m_lod,64,0.005800271794603254,0.23735324292327106

bunny.obj,m_lod,128,0.00350774558441457,0.25038515049084936

bunny.obj,m_lod,256,0.0038694965361293666,0.25020606430568904

bunny.obj,hash,64,0.03809925502604007,1.1413452468040732

bunny.obj,hash,128,0.10154466950213821,1.3237884240179412

bunny.obj,hash,256,0.14299948617167252,1.3285988104156994

column.obj,one_lod,64,0.01223029132466033,0.07267592372958688

column.obj,one_lod,128,0.009524604160236242,0.08167877497180645

column.obj,one_lod,256,0.00896027707895325,0.08180757332388662

column.obj,m_lod,64,0.005726882262826954,0.031573736770292876

column.obj,m_lod,128,0.003057077363756576,0.0193336815633263

column.obj,m_lod,256,0.002273081278098581,0.01511215553447283

column.obj,hash,64,0.07112445692015015,1.2099844444984276

column.obj,hash,128,0.20106522678265354,1.217159810788943

column.obj,hash,256,0.274315054665224,1.2393098818094308

dragon_original.obj,one_lod,64,0.010658769909217514,0.1007488611658527

dragon_original.obj,one_lod,128,0.009105041673060072,0.09670238947479712

dragon_original.obj,one_lod,256,0.009325529953040397,0.09783375878302417

dragon_original.obj,m_lod,64,0.0048666198125862665,0.07044088770462423

dragon_original.obj,m_lod,128,0.0025208801497599693,0.055802410902415486

dragon_original.obj,m_lod,256,0.0019150621383144583,0.05536261980205011

dragon_original.obj,hash,64,0.13894359036276768,1.2712049681733018

dragon_original.obj,hash,128,0.20558442745406305,1.2804921524309414

dragon_original.obj,hash,256,0.22361336167492313,1.284470185543288

serapis.obj,one_lod,64,0.021540188987537554,0.29691547857691347

serapis.obj,one_lod,128,0.025103988927337676,0.3008915985320972

serapis.obj,one_lod,256,0.028022375499387235,0.30300590756011836

serapis.obj,m_lod,64,0.008475817039685116,0.2904314555792652

serapis.obj,m_lod,128,0.004040524832867616,0.2639017567706978

serapis.obj,m_lod,256,0.00588519403153604,0.2882738921155566

serapis.obj,hash,64,0.05897269193773492,1.196874298179632

serapis.obj,hash,128,0.13066513195678658,1.1972688955848931

serapis.obj,hash,256,0.16102926188178834,1.197059581177214

utah_teapot.obj,one_lod,64,0.018604230014382186,0.2061330952165627

utah_teapot.obj,one_lod,128,0.021796739118963,0.2068172134088953

utah_teapot.obj,one_lod,256,0.024953206906571147,0.20709280525715887

utah_teapot.obj,m_lod,64,0.004233970145810532,0.03906958976537114

utah_teapot.obj,m_lod,128,0.0024451418175281204,0.07928594619564185

utah_teapot.obj,m_lod,256,0.0015845084941539238,0.14613513288107785

utah_teapot.obj,hash,64,0.03820090255508961,1.1258107721136983

utah_teapot.obj,hash,128,0.07388279829914404,1.269764859249774

utah_teapot.obj,hash,256,0.1385403783059695,1.3181657922614038

